Status,Credit.Grade,Amount,Age,Borrower.Rate,Debt.To.Income.Ratio
Current,E,1000,1,0.29,0.05
Current,E,3500,7,0.22,0.05
Current,E,4500,3,0.17,0.05
Current,E,2800,3,0.195,0.05
Current,E,2500,5,0.182,0.05
Current,E,2550,4,0.29,0.05
Current,E,3000,3,0.2475,0.05
Current,E,1500,5,0.17,0.05
Current,E,7000,6,0.18,0.05
Current,E,2750,7,0.2375,0.05
Current,E,4000,1,0.2877,0.05
Current,E,3500,5,0.2279,0.05
Current,E,4500,5,0.2385,0.05
Current,HR,1000,3,0.17,0.05
Current,HR,1000,7,0.1775,0.05
Current,HR,5000,4,0.29,0.05
Current,HR,2550,5,0.29,0.05
Current,HR,4000,4,0.29,0.05
Current,HR,2500,2,0.29,0.05
Current,HR,2500,6,0.26,0.05
Current,HR,1000,6,0.1775,0.05
Current,HR,2500,7,0.24,0.05
Current,HR,1000,7,0.1385,0.05
Current,HR,1250,4,0.15,0.05
Current,HR,3001,5,0.29,0.05
Current,HR,2600,4,0.25,0.05
Current,HR,1000,5,0.15,0.05
Current,HR,4000,7,0.2675,0.05
Current,HR,3001,8,0.2375,0.05
Current,HR,2800,5,0.29,0.05
Current,HR,1350,5,0.22,0.05
Current,HR,2000,4,0.29,0.05
Current,HR,1250,3,0.29,0.05
Current,HR,1500,2,0.29,0.05
Current,HR,6800,3,0.29,0.05
Current,HR,1250,3,0.29,0.05
Current,HR,2200,3,0.15,0.05
Current,HR,2000,3,0.27,0.05
Current,HR,2500,3,0.3,0.05
Current,HR,4000,2,0.2,0.05
Current,HR,1000,1,0.24,0.05
Current,HR,1000,1,0.2,0.05
Current,HR,2500,7,0.2875,0.05
Current,HR,3000,2,0.29,0.05
Current,HR,3500,2,0.17,0.05
Current,HR,2800,5,0.29,0.05
Current,HR,3000,3,0.29,0.05
Current,HR,3001,4,0.29,0.05
Current,HR,3000,7,0.2875,0.05
Current,HR,1000,5,0.24,0.05
Current,HR,5000,2,0.2,0.05
Current,HR,2000,3,0.1988,0.05
Current,HR,3001,5,0.2725,0.05
Current,HR,3000,1,0.254,0.05
Current,HR,3050,5,0.2875,0.05
Current,HR,3000,1,0.19,0.05
Current,HR,1000,1,0.09,0.05
Current,HR,1000,1,0.24,0.05
Current,HR,3050,2,0.29,0.05
Current,HR,4000,1,0.2,0.05
Current,NC,2700,8,0.1575,0.05
Current,NC,3100,4,0.25,0.05
Current,NC,2550,3,0.25,0.05
Current,NC,3001,7,0.27,0.05
Late,HR,3000,5,0.25,0.05
Late,HR,4000,6,0.2875,0.05
Late,HR,1500,3,0.3,0.05
Late,HR,3001,3,0.29,0.05
Late,HR,1200,4,0.29,0.05
Late,E,4700,7,0.25,0.05
Late,E,2550,7,0.259,0.05
Late,HR,3001,8,0.2375,0.05
Late,HR,3000,5,0.29,0.05
Late,E,3500,5,0.29,0.05
Late,HR,2000,2,0.05,0.05
Current,AA,3000,9,0.08,0.051
Current,AA,1500,10,0.065,0.051
Current,C,6000,9,0.15,0.051
Current,E,1000,9,0.2375,0.051
Current,HR,1200,9,0.22,0.051
Current,A,1000,10,0.0695,0.052
Late,E,4850,10,0.255,0.052
Current,A,1000,10,0.0612,0.053
Current,C,1250,10,0.102,0.053
Current,AA,1000,8,0.075,0.054
Current,E,2600,8,0.08,0.054
Late,C,5000,8,0.155,0.054
Current,C,1000,8,0.115,0.055
Current,E,1400,10,0.177,0.055
Current,E,1000,8,0.2375,0.055
Current,E,1600,8,0.2375,0.055
Current,HR,3000,9,0.3575,0.055
Current,D,15000,9,0.25,0.056
Current,HR,3025,8,0.24,0.056
Default,NC,4500,10,0.18,0.056
Late,HR,3050,11,0.33,0.056
Late,HR,3001,10,0.3575,0.056
Default,D,3100,9,0.225,0.057
Current,A,5000,9,0.1,0.058
Current,AA,3540,9,0.0875,0.058
Current,B,7000,10,0.12,0.058
Current,C,5000,9,0.153,0.058
Current,HR,3000,10,0.3,0.058
Current,E,6001,9,0.2275,0.059
Current,A,1000,2,0.075,0.06
Current,A,3000,6,0.0845,0.06
Current,A,3000,4,0.095,0.06
Current,A,1600,7,0.0875,0.06
Current,A,1500,1,0.0803,0.06
Current,A,1000,4,0.083,0.06
Current,A,5000,1,0.09,0.06
Current,A,2000,1,0.0725,0.06
Current,AA,5000,5,0.087,0.06
Current,AA,6000,2,0.0965,0.06
Current,AA,4271,3,0.1,0.06
Current,AA,25000,1,0.1075,0.06
Current,AA,5000,1,0.0785,0.06
Current,AA,2500,2,0.08,0.06
Current,AA,2550,4,0.0812,0.06
Current,AA,2500,2,0.082,0.06
Current,AA,2000,2,0.075,0.06
Current,AA,2550,6,0.0883,0.06
Current,AA,15000,5,0.095,0.06
Current,AA,4997,2,0.082,0.06
Current,AA,3000,4,0.0895,0.06
Current,AA,3000,4,0.0885,0.06
Current,AA,2750,5,0.085,0.06
Current,AA,3500,1,0.08,0.06
Current,AA,3000,1,0.0775,0.06
Current,AA,7500,7,0.0972,0.06
Current,AA,1000,1,0.062,0.06
Current,B,10000,7,0.1489,0.06
Current,B,4000,1,0.095,0.06
Current,B,3500,3,0.137,0.06
Current,B,10000,8,0.142,0.06
Current,B,10000,6,0.145,0.06
Current,B,3000,1,0.18,0.06
Current,C,5000,1,0.135,0.06
Current,C,1000,6,0.155,0.06
Current,C,1000,7,0.1575,0.06
Current,C,10000,3,0.15,0.06
Current,C,15000,4,0.165,0.06
Current,C,7000,5,0.1577,0.06
Current,C,6001,2,0.2,0.06
Current,C,3500,8,0.1339,0.06
Current,C,10000,5,0.17,0.06
Current,C,2000,7,0.1,0.06
Current,C,1200,7,0.1525,0.06
Current,C,3600,3,0.14,0.06
Current,C,3000,6,0.17,0.06
Current,C,5000,5,0.1495,0.06
Current,C,10000,8,0.1565,0.06
Current,D,3000,10,0.17,0.06
Current,D,5000,3,0.222,0.06
Current,D,3000,8,0.215,0.06
Current,D,3000,6,0.24,0.06
Current,D,1500,4,0.2125,0.06
Current,D,1000,3,0.2,0.06
Current,D,3000,6,0.2075,0.06
Current,D,5000,1,0.19,0.06
Current,D,1000,3,0.13,0.06
Current,D,5000,7,0.25,0.06
Current,D,3700,4,0.1775,0.06
Current,D,5000,3,0.22,0.06
Current,D,5000,3,0.18,0.06
Current,D,2000,5,0.22,0.06
Current,D,3250,3,0.21,0.06
Current,D,3800,6,0.1775,0.06
Current,D,1750,5,0.1685,0.06
Current,D,1138,7,0.21,0.06
Current,D,7000,1,0.21,0.06
Current,E,3500,1,0.22,0.06
Current,E,1000,3,0.2881,0.06
Current,E,10300,5,0.285,0.06
Current,E,1500,2,0.24,0.06
Current,E,2550,7,0.2875,0.06
Current,E,3000,8,0.2375,0.06
Current,E,1500,2,0.1525,0.06
Current,E,2550,9,0.2375,0.06
Current,E,2500,2,0.2245,0.06
Current,E,2000,2,0.24,0.06
Current,E,3999,5,0.2825,0.06
Current,E,4000,5,0.2875,0.06
Current,E,1500,4,0.269,0.06
Current,E,2275,6,0.2,0.06
Current,E,2000,6,0.24,0.06
Current,E,12000,5,0.22,0.06
Current,E,3775,5,0.1954,0.06
Current,E,2550,1,0.29,0.06
Current,E,1430,7,0.2129,0.06
Current,E,3000,3,0.245,0.06
Current,E,3800,1,0.251,0.06
Current,E,1000,4,0.24,0.06
Current,E,3000,5,0.26,0.06
Current,E,5000,5,0.28,0.06
Current,E,3100,3,0.27,0.06
Current,E,1100,5,0.24,0.06
Current,E,3000,5,0.264,0.06
Current,E,3000,3,0.1995,0.06
Current,E,1000,2,0.15,0.06
Current,E,1000,3,0.2055,0.06
Current,E,2025,2,0.22,0.06
Current,HR,2526,7,0.287,0.06
Current,HR,2000,1,0.234,0.06
Current,HR,1000,1,0.2,0.06
Current,HR,3100,2,0.27,0.06
Current,HR,2525,2,0.29,0.06
Current,HR,2500,8,0.05,0.06
Current,HR,1000,6,0.2875,0.06
Current,HR,3000,6,0.2475,0.06
Current,HR,3000,1,0.29,0.06
Current,HR,1000,3,0.145,0.06
Current,HR,2000,4,0.24,0.06
Current,HR,1000,5,0.2889,0.06
Current,HR,2600,7,0.2875,0.06
Current,HR,2000,7,0.2375,0.06
Current,HR,1120,5,0.29,0.06
Current,HR,3200,7,0.26,0.06
Current,HR,3500,3,0.29,0.06
Current,HR,1500,5,0.29,0.06
Current,HR,1000,4,0.175,0.06
Current,HR,2000,6,0.2875,0.06
Current,HR,1500,2,0.26,0.06
Current,HR,2000,1,0.2845,0.06
Current,HR,3000,4,0.15,0.06
Current,HR,4500,2,0.29,0.06
Current,HR,2200,2,0.24,0.06
Current,HR,2500,2,0.195,0.06
Current,HR,3500,2,0.2,0.06
Current,HR,1000,2,0.25,0.06
Current,HR,1000,2,0.095,0.06
Current,HR,4000,0,0.29,0.06
Current,HR,6001,6,0.2375,0.06
Current,HR,4775,7,0.2875,0.06
Current,HR,1250,4,0.11,0.06
Current,HR,1000,2,0.29,0.06
Current,HR,1600,1,0.15,0.06
Current,HR,3500,1,0.15,0.06
Current,HR,4050,1,0.15,0.06
Current,HR,2000,3,0.24,0.06
Current,HR,3500,7,0.2475,0.06
Current,HR,3001,6,0.28,0.06
Current,HR,2800,2,0.25,0.06
Current,HR,1000,2,0.2895,0.06
Current,HR,1500,1,0.2189,0.06
Current,HR,2000,1,0.2,0.06
Current,HR,2000,1,0.29,0.06
Current,HR,1000,7,0.2875,0.06
Current,HR,1800,1,0.2,0.06
Current,HR,2500,1,0.29,0.06
Current,HR,3000,1,0.176,0.06
Current,HR,1000,1,0.17,0.06
Current,NC,3500,3,0.15,0.06
Default,HR,2900,7,0.2875,0.06
Late,E,3800,5,0.29,0.06
Late,HR,3500,8,0.03,0.06
Late,HR,1005,3,0.29,0.06
Late,HR,1500,4,0.29,0.06
Late,HR,1000,4,0.29,0.06
Late,NC,2000,6,0.2875,0.06
Late,C,5000,6,0.19,0.06
Late,HR,1000,5,0.2793,0.06
Late,HR,3000,4,0.29,0.06
Late,HR,3000,7,0.25,0.06
Current,C,2000,9,0.1175,0.061
Current,C,5000,9,0.19,0.061
Current,NC,4600,10,0.25,0.061
Default,HR,3001,10,0.3575,0.061
Default,HR,3500,10,0.2075,0.061
Current,A,3000,8,0.085,0.062
Default,HR,3000,10,0.2475,0.062
Late,HR,3001,9,0.23,0.062
Current,AA,5000,10,0.0762,0.063
Current,AA,2500,10,0.0685,0.063
Current,AA,10000,11,0.07,0.063
Current,B,2500,10,0.1104,0.063
Current,C,3800,9,0.145,0.063
Current,AA,1000,9,0.0875,0.064
Current,C,2750,9,0.1475,0.064
Current,D,4000,8,0.22,0.064
Current,HR,6001,9,0.2375,0.064
Current,A,7500,11,0.08,0.065
Current,AA,10000,8,0.0958,0.065
Current,C,10000,8,0.1775,0.065
Current,HR,2600,8,0.2375,0.065
Current,C,2000,9,0.1125,0.066
Current,A,11000,10,0.15,0.067
Current,B,4150,8,0.13,0.067
Current,C,7500,9,0.1625,0.067
Current,C,6000,8,0.1845,0.067
Late,E,7000,9,0.35,0.067
Current,A,2000,10,0.07,0.068
Current,C,5000,10,0.135,0.069
Current,C,2500,10,0.1095,0.069
Current,E,3100,10,0.27,0.069
Current,HR,1500,9,0.1775,0.069
Current,A,3000,9,0.09,0.07
Current,A,11000,4,0.1,0.07
Current,A,1000,3,0.085,0.07
Current,A,5000,7,0.1,0.07
Current,A,10000,1,0.099,0.07
Current,A,8998,13,0.0945,0.07
Current,A,5000,6,0.1025,0.07
Current,A,12000,5,0.1515,0.07
Current,A,5000,4,0.09,0.07
Current,A,5000,4,0.1012,0.07
Current,A,5000,3,0.095,0.07
Current,AA,9895,5,0.089,0.07
Current,AA,8000,2,0.09,0.07
Current,AA,2500,7,0.0765,0.07
Current,AA,6400,1,0.09,0.07
Current,AA,20000,2,0.15,0.07
Current,AA,4000,2,0.08,0.07
Current,AA,1000,3,0.075,0.07
Current,AA,4950,2,0.08,0.07
Current,AA,13250,5,0.135,0.07
Current,AA,2000,1,0.07,0.07
Current,AA,3001,6,0.0812,0.07
Current,AA,3500,7,0.0975,0.07
Current,AA,10000,5,0.0899,0.07
Current,AA,3000,3,0.09,0.07
Current,AA,3000,4,0.0845,0.07
Current,AA,3000,5,0.0845,0.07
Current,AA,3001,6,0.08,0.07
Current,B,6001,7,0.1575,0.07
Current,B,2500,1,0.09,0.07
Current,B,9500,4,0.138,0.07
Current,B,4000,4,0.1195,0.07
Current,B,3000,5,0.11,0.07
Current,B,8000,7,0.1169,0.07
Current,B,5000,2,0.2,0.07
Current,B,2550,2,0.1,0.07
Current,B,1700,5,0.1025,0.07
Current,B,1000,1,0.1025,0.07
Current,B,4000,5,0.11,0.07
Current,C,3000,5,0.12,0.07
Current,C,3000,3,0.15,0.07
Current,C,7500,5,0.215,0.07
Current,C,3500,1,0.108,0.07
Current,C,2500,5,0.115,0.07
Current,C,6001,6,0.174,0.07
Current,C,2900,8,0.17,0.07
Current,C,6000,6,0.145,0.07
Current,C,5000,6,0.15,0.07
Current,C,4000,8,0.2375,0.07
Current,C,6000,4,0.165,0.07
Current,C,4500,7,0.175,0.07
Current,C,7300,6,0.1925,0.07
Current,C,5000,3,0.1375,0.07
Current,C,1000,6,0.1025,0.07
Current,C,10000,6,0.1544,0.07
Current,C,8500,3,0.23,0.07
Current,D,3250,2,0.168,0.07
Current,D,2550,6,0.2295,0.07
Current,D,5000,7,0.1675,0.07
Current,D,4000,5,0.22,0.07
Current,D,1500,3,0.15,0.07
Current,D,1000,3,0.2,0.07
Current,D,1500,6,0.17,0.07
Current,D,8000,3,0.22,0.07
Current,D,1000,8,0.2075,0.07
Current,D,6001,7,0.2,0.07
Current,D,1500,8,0.17,0.07
Current,D,6001,7,0.22,0.07
Current,D,2500,2,0.14,0.07
Current,D,5000,4,0.1525,0.07
Current,D,3000,1,0.24,0.07
Current,D,5000,1,0.2069,0.07
Current,E,2250,1,0.2235,0.07
Current,E,2550,1,0.24,0.07
Current,E,6001,1,0.23,0.07
Current,E,3001,2,0.2899,0.07
Current,E,3000,2,0.29,0.07
Current,E,3500,9,0.237,0.07
Current,E,1000,2,0.2,0.07
Current,E,6000,5,0.3,0.07
Current,E,2500,1,0.24,0.07
Current,E,2000,2,0.17,0.07
Current,E,2550,3,0.29,0.07
Current,E,2550,8,0.225,0.07
Current,E,3000,5,0.1795,0.07
Current,E,2025,7,0.2,0.07
Current,E,8000,1,0.25,0.07
Current,E,3000,4,0.29,0.07
Current,E,3000,7,0.2,0.07
Current,E,3500,7,0.1775,0.07
Current,E,2000,4,0.26,0.07
Current,E,3000,5,0.29,0.07
Current,E,2400,5,0.24,0.07
Current,E,1025,7,0.21,0.07
Current,E,1000,5,0.2429,0.07
Current,HR,1000,9,0.2,0.07
Current,HR,1000,10,0.1575,0.07
Current,HR,1100,2,0.15,0.07
Current,HR,5000,7,0.255,0.07
Current,HR,2550,2,0.285,0.07
Current,HR,1000,5,0.2,0.07
Current,HR,5000,5,0.29,0.07
Current,HR,1000,4,0.29,0.07
Current,HR,1000,6,0.2475,0.07
Current,HR,3001,10,0.26,0.07
Current,HR,4790,6,0.2475,0.07
Current,HR,6001,6,0.22,0.07
Current,HR,4000,6,0.2,0.07
Current,HR,2550,3,0.22,0.07
Current,HR,3000,3,0.25,0.07
Current,HR,1500,7,0.2475,0.07
Current,HR,2000,4,0.29,0.07
Current,HR,1000,4,0.29,0.07
Current,HR,2550,7,0.255,0.07
Current,HR,3001,1,0.22,0.07
Current,HR,2000,1,0.28,0.07
Current,HR,6000,3,0.2,0.07
Current,HR,1000,3,0.095,0.07
Current,HR,5000,1,0.1775,0.07
Current,HR,3000,7,0.28,0.07
Current,HR,5000,3,0.2875,0.07
Current,HR,5050,4,0.225,0.07
Current,HR,1000,2,0.29,0.07
Current,HR,1000,2,0.24,0.07
Current,HR,1000,2,0.25,0.07
Current,HR,2000,2,0.3,0.07
Current,HR,2000,1,0.2323,0.07
Current,HR,1000,1,0.17,0.07
Current,HR,1500,2,0.29,0.07
Current,HR,8500,3,0.29,0.07
Current,HR,2000,2,0.23,0.07
Current,HR,1525,1,0.19,0.07
Current,HR,2000,1,0.29,0.07
Current,HR,2200,6,0.2875,0.07
Current,HR,1000,4,0.2,0.07
Current,HR,3500,1,0.2295,0.07
Current,NC,2000,1,0.29,0.07
Current,NC,10000,5,0.28,0.07
Current,NC,2500,3,0.29,0.07
Late,D,6100,7,0.2,0.07
Late,HR,2600,4,0.29,0.07
Late,HR,1500,4,0.2,0.07
Late,E,3200,4,0.274,0.07
Late,E,2500,5,0.2195,0.07
Late,E,3000,7,0.2375,0.07
Late,E,2200,5,0.285,0.07
Late,HR,2000,6,0.2875,0.07
Late,HR,2700,7,0.28,0.07
Late,HR,2000,5,0.29,0.07
Late,HR,3100,7,0.28,0.07
Late,HR,3000,7,0.2475,0.07
Late,NC,5000,5,0.27,0.07
Late,E,2350,7,0.2075,0.07
Late,HR,1700,7,0.2375,0.07
Late,HR,3000,2,0.05,0.07
Current,B,15001,9,0.1425,0.071
Current,C,4000,9,0.2,0.071
Current,E,3000,9,0.2,0.071
Current,A,10000,9,0.1,0.072
Current,AA,15000,9,0.101,0.072
Current,B,4000,8,0.119,0.072
Default,HR,3050,9,0.35,0.072
Late,E,3001,8,0.2375,0.072
Current,C,3500,8,0.165,0.073
Current,C,3000,10,0.1,0.073
Current,HR,4000,9,0.3325,0.073
Current,A,10000,11,0.08,0.074
Current,AA,1000,8,0.0825,0.074
Current,HR,3000,10,0.24,0.074
Late,HR,2550,8,0.2325,0.074
Current,AA,10000,11,0.07,0.075
Current,C,3500,8,0.155,0.075
Current,D,3000,10,0.1575,0.075
Current,E,3001,8,0.2025,0.075
Current,E,2200,10,0.1775,0.075
Default,C,3300,9,0.139,0.075
Current,E,2555,9,0.2,0.076
Current,B,15000,8,0.126,0.077
Current,C,3300,11,0.24,0.077
Current,E,6000,10,0.246,0.077
Late,D,5000,11,0.13,0.077
Current,AA,5000,11,0.07,0.078
Current,E,2550,8,0.2375,0.078
Current,HR,2900,10,0.3125,0.078
Default,HR,1300,9,0.357,0.078
Current,A,2500,8,0.0975,0.079
Current,A,7500,4,0.1055,0.08
Current,A,3000,3,0.085,0.08
Current,A,5000,4,0.0981,0.08
Current,AA,10000,2,0.1075,0.08
Current,AA,20000,3,0.1122,0.08
Current,AA,1036,1,0.07,0.08
Current,AA,25000,5,0.095,0.08
Current,AA,6000,3,0.096,0.08
Current,AA,4000,1,0.08,0.08
Current,AA,2500,2,0.078,0.08
Current,AA,4000,4,0.0825,0.08
Current,AA,2300,6,0.0755,0.08
Current,AA,5000,4,0.082,0.08
Current,AA,10000,5,0.09,0.08
Current,AA,5055,1,0.0799,0.08
Current,AA,5000,2,0.09,0.08
Current,AA,9500,4,0.0912,0.08
Current,AA,3000,2,0.084,0.08
Current,AA,2500,5,0.08,0.08
Current,AA,1000,5,0.0844,0.08
Current,B,2000,10,0.07,0.08
Current,B,20000,5,0.15,0.08
Current,B,4250,4,0.1275,0.08
Current,B,8000,3,0.17,0.08
Current,B,5000,4,0.1145,0.08
Current,B,2000,2,0.092,0.08
Current,B,1400,5,0.0975,0.08
Current,B,15000,4,0.1745,0.08
Current,B,2550,1,0.0975,0.08
Current,B,2600,4,0.1388,0.08
Current,C,7000,7,0.175,0.08
Current,C,7600,2,0.17,0.08
Current,C,5000,1,0.139,0.08
Current,C,2500,1,0.16,0.08
Current,C,10000,2,0.1395,0.08
Current,C,9000,1,0.2,0.08
Current,C,2550,1,0.138,0.08
Current,C,2550,2,0.1375,0.08
Current,C,4000,4,0.15,0.08
Current,C,3500,8,0.15,0.08
Current,C,3050,1,0.13,0.08
Current,C,4816,7,0.169,0.08
Current,C,3000,3,0.16,0.08
Current,C,7000,4,0.14,0.08
Current,C,3001,5,0.163,0.08
Current,C,5000,5,0.154,0.08
Current,C,6100,7,0.233,0.08
Current,C,11000,7,0.1575,0.08
Current,C,5000,7,0.1699,0.08
Current,C,5055,8,0.1485,0.08
Current,C,7000,3,0.17,0.08
Current,C,5000,3,0.25,0.08
Current,C,5000,7,0.152,0.08
Current,D,2000,8,0.15,0.08
Current,D,10000,2,0.1855,0.08
Current,D,1250,5,0.15,0.08
Current,D,4000,4,0.168,0.08
Current,D,6001,6,0.2275,0.08
Current,D,6002,2,0.1955,0.08
Current,D,2849,6,0.1775,0.08
Current,D,5000,4,0.2375,0.08
Current,D,1030,5,0.17,0.08
Current,D,3000,6,0.17,0.08
Current,D,4000,3,0.18,0.08
Current,D,10500,1,0.205,0.08
Current,D,2000,2,0.17,0.08
Current,D,15000,7,0.28,0.08
Current,D,2500,5,0.17,0.08
Current,D,5000,4,0.2,0.08
Current,D,3000,5,0.1975,0.08
Current,D,1500,3,0.174,0.08
Current,D,1000,3,0.15,0.08
Current,D,6000,1,0.2567,0.08
Current,D,3500,2,0.17,0.08
Current,D,3000,6,0.1575,0.08
Current,D,3000,7,0.2075,0.08
Current,D,2500,1,0.25,0.08
Current,E,3001,1,0.24,0.08
Current,E,3500,1,0.1475,0.08
Current,E,2000,1,0.27,0.08
Current,E,2100,2,0.29,0.08
Current,E,1000,1,0.137,0.08
Current,E,10000,1,0.2775,0.08
Current,E,3000,3,0.17,0.08
Current,E,5000,3,0.29,0.08
Current,E,5000,4,0.289,0.08
Current,E,2500,1,0.28,0.08
Current,E,3500,1,0.22,0.08
Current,E,3500,5,0.2325,0.08
Current,E,3000,3,0.29,0.08
Current,E,1200,1,0.245,0.08
Current,E,3001,1,0.29,0.08
Current,E,2900,4,0.2,0.08
Current,E,1200,7,0.167,0.08
Current,E,2550,5,0.29,0.08
Current,E,5500,7,0.27,0.08
Current,E,6001,8,0.2275,0.08
Current,E,1300,3,0.09,0.08
Current,E,3500,3,0.29,0.08
Current,E,5000,4,0.29,0.08
Current,E,3000,5,0.28,0.08
Current,E,3000,4,0.27,0.08
Current,E,1100,5,0.24,0.08
Current,E,2500,6,0.2855,0.08
Current,E,5000,7,0.2625,0.08
Current,E,3000,3,0.25,0.08
Current,E,1000,2,0.15,0.08
Current,E,5000,3,0.29,0.08
Current,E,2950,3,0.2325,0.08
Current,E,3650,3,0.29,0.08
Current,E,3000,3,0.22,0.08
Current,E,2501,2,0.255,0.08
Current,HR,4000,1,0.29,0.08
Current,HR,1400,6,0.2,0.08
Current,HR,2000,4,0.24,0.08
Current,HR,4000,3,0.2,0.08
Current,HR,1000,5,0.21,0.08
Current,HR,1300,2,0.2,0.08
Current,HR,1700,5,0.2,0.08
Current,HR,2000,6,0.2075,0.08
Current,HR,1000,6,0.285,0.08
Current,HR,1001,4,0.2,0.08
Current,HR,3300,5,0.29,0.08
Current,HR,4000,6,0.2875,0.08
Current,HR,2500,6,0.2075,0.08
Current,HR,2500,7,0.2875,0.08
Current,HR,1500,5,0.2,0.08
Current,HR,2200,5,0.279,0.08
Current,HR,3000,3,0.23,0.08
Current,HR,5000,4,0.29,0.08
Current,HR,1200,4,0.24,0.08
Current,HR,2500,4,0.29,0.08
Current,HR,3500,4,0.1875,0.08
Current,HR,6001,2,0.22,0.08
Current,HR,4900,1,0.29,0.08
Current,HR,1000,5,0.29,0.08
Current,HR,3000,4,0.29,0.08
Current,HR,3052,2,0.29,0.08
Current,HR,1603,5,0.2,0.08
Current,HR,2000,2,0.29,0.08
Current,HR,1000,1,0.11,0.08
Current,HR,3070,5,0.2875,0.08
Current,HR,1000,1,0.27,0.08
Current,HR,2200,1,0.24,0.08
Current,NC,1250,1,0.1309,0.08
Current,NC,6000,0,0.23,0.08
Current,NC,2025,1,0.27,0.08
Default,A,2500,8,0.16,0.08
Default,A,2300,8,0.16,0.08
Late,E,3400,5,0.29,0.08
Late,E,4500,5,0.28,0.08
Late,HR,2000,5,0.29,0.08
Late,HR,1000,8,0.2375,0.08
Late,HR,1000,5,0.17,0.08
Late,HR,2000,6,0.29,0.08
Late,HR,3000,6,0.2875,0.08
Late,D,5000,3,0.2218,0.08
Late,D,5000,5,0.2015,0.08
Current,AA,7500,9,0.0915,0.081
Current,B,8000,9,0.133,0.081
Current,D,5500,10,0.13,0.081
Current,D,5000,9,0.1725,0.081
Current,E,3500,9,0.285,0.081
Default,C,4000,10,0.13,0.081
Current,A,3000,9,0.11,0.082
Current,A,3000,8,0.0875,0.082
Current,A,10000,9,0.1575,0.082
Current,AA,2000,8,0.0865,0.082
Current,C,3001,9,0.1325,0.082
Current,D,3700,11,0.13,0.082
Current,C,5000,10,0.16,0.083
Current,HR,1000,8,0.2375,0.083
Default,HR,3000,10,0.32,0.083
Current,B,9000,11,0.09,0.084
Current,HR,8500,11,0.1825,0.084
Current,B,5000,10,0.089,0.085
Current,C,3001,10,0.15,0.085
Current,E,2500,8,0.2325,0.085
Current,C,5000,8,0.135,0.086
Current,D,3000,8,0.2375,0.086
Default,HR,3001,9,0.3575,0.086
Current,B,3000,9,0.1045,0.087
Current,HR,1800,8,0.2375,0.087
Current,A,5000,9,0.1,0.088
Current,D,10000,8,0.225,0.088
Current,D,1200,8,0.0875,0.089
Current,HR,4800,9,0.2375,0.089
Current,A,6000,7,0.11,0.09
Current,A,8500,7,0.115,0.09
Current,A,1000,7,0.09,0.09
Current,A,10000,5,0.118,0.09
Current,A,8000,3,0.12,0.09
Current,A,5100,7,0.09,0.09
Current,A,6001,4,0.099,0.09
Current,A,5000,3,0.09,0.09
Current,A,2500,1,0.09,0.09
Current,A,15000,2,0.099,0.09
Current,AA,10000,1,0.0845,0.09
Current,AA,1000,1,0.069,0.09
Current,AA,1000,1,0.0725,0.09
Current,AA,8000,7,0.0899,0.09
Current,AA,7500,5,0.084,0.09
Current,AA,6001,5,0.0875,0.09
Current,AA,6000,5,0.0875,0.09
Current,AA,3200,3,0.08,0.09
Current,AA,25000,4,0.1189,0.09
Current,B,1500,7,0.1175,0.09
Current,B,10000,3,0.1124,0.09
Current,B,6000,9,0.11,0.09
Current,B,5000,7,0.1225,0.09
Current,B,5000,5,0.138,0.09
Current,B,1000,7,0.0775,0.09
Current,B,5000,4,0.1115,0.09
Current,B,3000,4,0.11,0.09
Current,B,3000,6,0.105,0.09
Current,B,3000,5,0.1038,0.09
Current,B,2500,2,0.1998,0.09
Current,B,5000,3,0.15,0.09
Current,B,3500,1,0.218,0.09
Current,C,3000,5,0.1375,0.09
Current,C,4050,6,0.1479,0.09
Current,C,3000,7,0.1765,0.09
Current,C,3000,2,0.15,0.09
Current,C,7500,1,0.13,0.09
Current,C,3500,3,0.17,0.09
Current,C,10000,2,0.1815,0.09
Current,C,5000,4,0.1295,0.09
Current,C,10000,5,0.1485,0.09
Current,C,9000,6,0.18,0.09
Current,C,7000,3,0.135,0.09
Current,C,5000,5,0.17,0.09
Current,C,1000,8,0.12,0.09
Current,C,4000,10,0.2,0.09
Current,C,5000,8,0.14,0.09
Current,C,9000,4,0.1595,0.09
Current,D,3000,1,0.15,0.09
Current,D,1000,7,0.13,0.09
Current,D,4000,8,0.2375,0.09
Current,D,3100,6,0.26,0.09
Current,D,1500,2,0.212,0.09
Current,D,5000,3,0.2,0.09
Current,D,1800,3,0.22,0.09
Current,D,4000,2,0.23,0.09
Current,D,15001,9,0.22,0.09
Current,D,1000,3,0.15,0.09
Current,D,1000,4,0.192,0.09
Current,D,5000,8,0.2,0.09
Current,D,3000,7,0.1775,0.09
Current,D,6001,5,0.2025,0.09
Current,D,10000,4,0.24,0.09
Current,D,4001,3,0.1269,0.09
Current,D,1600,2,0.1595,0.09
Current,D,5000,1,0.168,0.09
Current,D,1500,1,0.165,0.09
Current,D,3100,1,0.185,0.09
Current,D,2600,2,0.164,0.09
Current,E,3000,5,0.239,0.09
Current,E,6001,0,0.22,0.09
Current,E,5000,1,0.28,0.09
Current,E,3000,1,0.29,0.09
Current,E,3000,3,0.29,0.09
Current,E,2550,3,0.25,0.09
