Company Name,Industry Name,SIC,Exchange,Country,Stock Price,% Chg in last year,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
Advanced Digital,Computer Software/Svcs,3579,NDQ,US,9.79,0,325801,63.8,600.3,0,600.3,367.4,232.9,454.8,454.2,77.96,42.27,0.12,81.58,8.66,1.65,1.32,13.72,7.16,2.8,1.65,0.81,0.81,-0.15,0.09,NA,0.07,2.01,1.4,0.27,0.53,-9.96,0.76,0,-0.37,0.02,0.2,0.02,0.06,131,475,48.4,-0.06,7.7,26.79,26.79,51.29,36.75,0,0.11,0.39,0.51,0.49,14.6,24.5,127,454.2,14.2,0,0.01,0.1,0,0,0,0,NA,0.64
Advanced Energy,Semiconductor,3674,NDQ,US,11.83,-0.02,235640,32.8,547,196.1,743.1,635.1,108,395.3,343.8,105.19,105.19,0.58,20.4,NA,3.77,1.38,16.03,10.46,2.72,2.18,1.61,1.85,NA,NA,0.08,0.5,3.71,2.25,0.34,0.76,-20.47,0.98,0,-1.02,0.04,0.09,0.01,0.1,233.1,396,102.6,-13.37,5.2,39.61,20.08,60.71,40.55,0.49,0.26,0.15,0.31,0.27,14,21.1,110.2,343.8,5.2,0,0.2,0.11,0.36,0.26,0.57,0,0.35,0.66
Advanced Engine Technologies I,Machinery,3500,NDQ,US,0.08,0,33200,33.8,2.7,0,2.7,2.3,0.4,NA,NA,NA,NA,NA,NA,NA,1.69,NA,NA,NA,1.92,1.69,NA,NA,NA,NA,NA,0,-1.48,0,NA,1.34,-0.1,-0.22,NA,NA,-0.81,NA,NA,NA,1.2,1.7,0.1,0,-1.3,NA,NA,NA,NA,0,NA,0.15,NA,0.24,0.1,0.2,1.1,0,-1.3,0,0.53,0.06,0,0,0,0,NA,0
Advanced Environ Recycling Tec,Building Materials,3200,NDQ,US,1.79,0.07,107951,30.7,62.6,17.7,80.3,78.5,1.8,63.6,79.3,56.91,24.08,NA,NA,NA,5.35,0.98,10.37,6.73,2.84,2.73,1.23,0.99,NA,NA,NA,0.46,0.24,0.9,0.22,0.47,1.01,0.1,0,0.13,0.09,0.27,0.02,0.12,27.6,43.3,-3.2,-0.79,1.1,7.57,7.57,11.67,6.56,0,-0.05,0.02,0.02,0.04,5.9,4.1,11.2,79.3,2.6,0,0,0.59,0.28,0.22,0.6,0,NA,0.03
Advanced ID Corp.,Electronics,3670,NDQ,Foreign,0.14,0,82900,42.2,6.7,0,6.7,6.1,0.6,0.9,1.1,NA,NA,NA,NA,NA,13.4,7.44,NA,NA,NA,13.4,6.78,5.55,NA,NA,NA,-0.18,0,2.1,0.57,0,0,NA,NA,0,-3.8,8.6,-2.11,-0.96,-0.1,0.7,0,0,-1.9,-0.86,-0.86,-0.86,-0.86,0,0,0.09,0.55,0.86,0,0,1.3,1.1,-0.6,0,0,0,0,0,0,0,NA,0
Advanced Life Sciences Hldgs,Drug,2834,NDQ,Foreign,3.92,0.02,219932,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.33,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0.32
Advanced Magnetics,Drug,2834,AMS,US,11.02,0,2600,9.9,108.5,0,108.5,84.8,23.7,2.4,2.4,NA,NA,-1.38,NA,NA,4.84,45.21,NA,NA,NA,4.84,35.33,35.33,NA,NA,NA,-0.48,0.11,0.55,0.6,0.96,0.2,0.02,NA,-0.02,-0.57,9.73,-5.29,-5.27,-1.3,28.3,-2.5,0,-12.7,-12.65,-12.65,-12.45,-12.85,0,-1.04,0.22,9.88,0.84,0.4,0.2,3.3,2.4,-12.7,0,0,0.13,0,0,0,0,NA,0.26
Advanced Marketing Services,Publishing,2700,NDQ,US,3.56,-0.04,407104,19.1,72.4,45,117.4,102.8,14.6,911.6,976.3,6.46,6.77,NA,NA,NA,0.51,0.08,4.06,3.1,0.6,0.63,0.11,0.11,NA,NA,NA,0.22,0,1.05,NA,0,7.73,NA,0,0.5,0.08,0.09,0.01,0.03,172.3,445.6,83.6,5.93,11.2,25.34,15.45,33.14,7.71,0.39,0.09,0.12,0.01,0.03,9.6,7.8,129.3,976.3,10.7,0,0.09,0.07,0.62,0.38,0.24,0,NA,0.34
Advanced Materials Grp,Chemical (Specialty),2820,NDQ,US,0.22,0.05,21811,8.7,2.1,1.5,3.6,3.6,0,14.5,11.2,NA,NA,NA,NA,NA,NA,0.14,NA,NA,6,NA,0.25,0.32,NA,NA,NA,-0.6,-1.36,0.7,NA,1.05,-0.57,-0.26,NA,1.11,NA,-0.86,-0.08,-0.04,0.6,3.6,0.3,-0.07,-1.2,-0.51,-0.51,-0.01,0.05,0,0.02,0,0,0,0,0.5,2.1,11.2,-1.1,0,0,0.31,0.71,0.42,NA,0,NA,0
Advanced Medical Optics Inc.,Medical Supplies,8060,NYS,US,41.8,0,323300,37.1,2798.1,552.6,3350.7,3301.2,49.5,742.1,892.5,NA,NA,1.48,28.24,NA,10.13,3.77,58.3,41.15,4.24,4.04,4.45,3.7,NA,0.2,NA,-0.02,0.17,0.85,0.16,0.3,28.16,0.11,NA,0.5,-0.19,0.07,-0.07,0.08,779.4,1076.5,135.5,27.46,-53.8,56.62,56.62,80.22,28.46,0,0.18,0.01,0.06,0.05,24.3,23.6,402.9,892.5,-69.2,0,0.5,0.11,0.2,0.16,0.67,0,NA,0
Advanced Micro Dev.,Semiconductor,3674,NYS,US,30.59,0,6193400,385,12742.3,1789.9,14532.2,13336.6,1195.6,5001.4,5273,90.44,90.44,0.53,57.72,NA,4.23,2.55,8.89,4.89,3.7,3.03,2.67,2.53,NA,NA,0.11,0.29,3.6,1.9,0.38,0.71,238.43,1.02,0,0.17,0.05,0.39,0.03,0.3,3604.4,7844.2,416.8,22.63,140.9,1500.42,1395.44,2724.72,1157,0.07,0.08,0.08,0.23,0.15,1440.1,1224.3,1692.6,5273,140.9,0,0,0.54,0.14,0.12,0.37,0,0.02,0.83
Advanced Nutraceuticals Inc,Food Processing,2000,NDQ,US,3.1,-0.23,75427,5.1,22.7,1.2,23.9,22.1,1.8,17.6,21,5.4,NA,NA,NA,NA,1.49,1.29,6.26,5.63,1.51,1.46,1.26,1.05,0.19,NA,NA,-0.3,1.83,1.35,0.21,1.34,0.8,0.27,0,0.23,0.28,0.24,0.24,0.2,14.6,17.5,5.2,1,4.2,3.53,3.53,3.93,2.72,0,0.3,0.08,0.09,0.1,0.2,0.4,2.8,21,0,0,0.43,0.06,0.05,0.05,0.07,0,NA,0
Advanced Optics Electronics In,Computers/Peripherals,3573,NDQ,US,0,0,41953478,3367.9,49.4,0.1,49.5,48.8,0.7,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,69.71,35.36,NA,NA,NA,NA,NA,0,0,0.15,NA,0,0.1,NA,NA,NA,-3.15,NA,NA,NA,0.7,2,-0.6,0,-4.1,NA,NA,NA,NA,0,NA,0.01,NA,0.35,0.1,0,2.3,0,-3.6,0,0.1,0.1,0,0,0.07,0,NA,0
Advanced Oxygen Technologies,Computer Software/Svcs,3579,NDQ,US,0.01,0,34532,45.9,0.5,0,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.83,1.95,0.48,3.49,0,0.05,NA,NA,NA,NA,NA,NA,-0.1,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
Advanced Photonix,Electrical Equipment,3600,AMS,US,2.76,0.01,38100,13.5,48.1,5.9,54,52.5,1.5,14.8,18.2,9.08,12.03,NA,NA,NA,3.14,3.25,42.58,28.64,2.66,2.55,3.55,2.88,NA,NA,NA,0.18,-0.63,1.4,0.39,0.75,2.06,-0.17,0,1.67,0.35,0.06,0.36,0.08,19.7,23.4,10.7,2.46,5.3,1.23,1.23,1.83,-0.83,0,0.72,0.03,0.08,0.06,0.2,0.6,4.1,18.2,4,0,0.11,0.06,0.12,0.11,0.28,0,NA,0.04
Advanced Power Technology Inc,Semiconductor,3674,NDQ,US,13.63,0,21976,10.7,148.5,0,148.5,132.7,15.8,67.8,62.1,47.9,NA,0.14,97.36,NA,2.06,2.19,16.89,10.91,2.36,2.06,1.96,2.14,NA,NA,NA,0.36,2.44,1.35,0.43,0.9,-2.32,0.54,0,-0.3,0.04,0.14,0.05,0.12,56.2,78.5,20.5,-1.72,3.1,7.86,7.65,12.16,9.98,0.03,0.3,0.11,0.25,0.2,3.7,4.3,20.8,62.1,-5,0,0.3,0.15,0,0,0,0,NA,0.44
Advanced Refractive Technols,Medical Services,8000,NDQ,US,0.02,0,820800,28.9,0.3,4.3,4.6,4,0.6,1.7,2.3,NA,NA,NA,NA,NA,NA,0.18,NA,NA,0.8,NA,2.35,1.74,NA,NA,NA,0,0,1.05,0.98,0,-0.79,NA,NA,0.1,NA,-1.62,-6.29,-4.76,5,3.5,-1.4,-0.49,-10.7,-8.09,-8.09,-7.79,-7.29,0,-0.82,0.13,0.26,0.17,0,0.3,9.4,2.3,-11.5,0,0.49,0.03,14.33,0.93,NA,0,NA,0
Advanced Viral Research Corp,Drug,2834,NDQ,US,0.07,-0.11,1091006,696.5,48.8,0,48.8,40.2,8.6,NA,NA,NA,NA,NA,NA,NA,4.88,NA,NA,NA,28.71,4.88,NA,NA,NA,NA,NA,0,0.28,0.95,0.86,1.39,-0.9,0.04,NA,NA,-0.56,NA,NA,NA,1.4,10.4,-0.2,0,-5.6,NA,NA,NA,NA,0,NA,0.18,NA,0.83,0,0.9,4.1,0,0,0,0.1,0.05,0,0,0,0,NA,0
Advancis Pharmaceutical Corp,Drug,2834,NDQ,Foreign,1.38,0.04,155616,22.7,38.5,2.6,41.1,11,30.1,11.4,22.3,NA,NA,NA,NA,NA,0.97,3.38,NA,NA,0.9,0.97,0.96,0.49,NA,0.3,NA,2.13,0,0.6,0.73,0,-4.5,NA,NA,0.14,-0.86,-2.63,-2.98,-2.81,12.2,61,-9.2,-8.8,-34,-32.08,-32.08,-29.38,-27.58,0,-0.81,0.73,1.35,0.49,7,2.7,43.3,22.3,-32.3,0,0.18,0.27,0.07,0.06,0.06,0,NA,0.08
Advanta Corp. 'A',Financial Svcs. (Div.),6100,NDQ,US,30.13,0.01,8633,27,831.3,314.8,1146.1,1119.2,26.9,NA,NA,27.53,11.34,NA,NA,NA,2.44,NA,NA,NA,1.78,1.75,NA,NA,-0.25,NA,NA,0,0.15,1.15,0.21,0.34,0,0.09,0.4,NA,0.09,NA,NA,NA,630.1,1687.6,0,0,30.2,NA,NA,NA,NA,0.38,NA,0.02,NA,0.02,0,0,26,0,73.3,12.15,0,0,0.38,0.27,0.48,0.01,NA,0.47
Advant-E Corporation,Computer Software/Svcs,3579,NDQ,US,1.4,-0.01,500,6.2,8.6,0,8.6,7.7,0.9,3.6,4.2,17.2,NA,NA,NA,NA,6.62,2.39,6.36,4.78,19.25,6.62,2.14,1.83,NA,NA,NA,0.22,0,0.5,0.38,0,-0.2,NA,0,-0.28,0.38,1.78,0.14,0.34,0.4,1.8,0,0,0.5,1.21,0.71,1.61,0.91,0.41,0,0.1,0.21,0.5,0.2,0.4,1.6,4.2,0,0,0,0.17,0,0,0,0,NA,0
Advent Software Inc,Computer Software/Svcs,3579,NDQ,US,28.94,0,122255,32.7,900.8,0,900.8,735.3,165.5,150,164.8,NA,93.83,0.4,72.35,NA,3.39,6.01,83.08,23.91,7.34,3.39,4.9,4.46,NA,0.18,NA,0.1,2.1,1.7,0.34,0.42,-21.84,1,NA,-2.47,-0.06,0.09,-0.11,0.06,100.2,354.6,-36.9,-3.64,-16.2,8.85,8.85,30.75,30.69,0,-0.25,0.18,1,0.47,3.7,21.9,97.8,164.8,9.6,0,0.32,0.05,0,0,0,0,NA,0.87
ADVENTRX Pharmaceuticals Inc.,Biotechnology,2830,AMS,Foreign,3.28,-0.02,54200,53.8,214.8,0,214.8,201.8,13,NA,0.1,NA,NA,NA,NA,NA,17.32,NA,NA,NA,NA,17.32,NA,2018,NA,NA,NA,0,0,0.4,0.65,0,0.3,NA,NA,NA,-0.54,NA,NA,NA,-0.6,13.6,-1,0,-6.7,NA,NA,NA,NA,0,NA,0.06,130,0.96,0.3,0,6.8,0.1,-12,0,0,0.02,0,0,0,0,NA,0.17
Advisory Board,Information Services,8900,NDQ,US,47.67,0,51180,19.3,915,0,915,884.1,30.9,141.6,141.6,39.27,39.27,1.49,31.99,2.53,6.3,6.46,22.69,21.69,7.73,6.3,6.24,6.24,NA,0.16,0.14,0.08,0.44,1,0.23,0.25,2.3,0.35,0,0.1,0.16,0.2,0.16,0.28,114.4,245.1,-55.3,0,23.3,38.97,22.81,40.77,20.51,0.41,-0.39,0.03,0.22,0.13,4.1,1.8,44.3,141.6,23.3,0,0,0.04,0,0,0,0,0.07,0
ADVO Inc.,Advertising,7310,NYS,US,28.24,-0.01,106000,30.8,904.3,125.2,1029.5,999.2,30.3,1245.8,1385.6,17.26,17.26,1.6,17.65,2.03,6.38,0.73,8.17,6.25,4.22,3.86,0.8,0.72,0.11,0.09,0.06,0.04,1.05,0.95,0.25,0.24,40.01,0.86,0.26,0.51,0.37,0.33,0.04,0.1,236.7,427.4,58.9,6.61,52.4,122.34,78.9,159.94,38.89,0.36,0.05,0.03,0.02,0.07,71,37.6,245.4,1385.6,52.4,13.55,0.05,0.42,0.14,0.12,0.47,0.02,0.04,0
Advocat Inc,Medical Services,8000,NDQ,US,5.27,-0.01,3700,5.7,31.2,47.1,78.3,72.5,5.8,202.8,202.9,7.09,NA,NA,NA,NA,NA,0.15,4.21,3.3,8.73,NA,0.36,0.36,NA,NA,NA,-0.01,-1.22,0.75,0.26,1.78,-0.7,-0.14,0,-0.04,NA,1.97,0.02,0.09,8.3,72.4,-5.3,0,4.4,17.24,16.33,21.94,17.04,0.05,-0.03,0.07,0.03,0.08,4,4.7,12.5,202.9,0,0,0,0.51,1.51,0.6,NA,0,NA,0
AdZone Reasearch Inc.,Industrial Services,7300,NDQ,Foreign,0.05,0,770865,98.1,4.5,0.4,4.9,4.4,0.5,0.3,0.1,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,14.67,44,NA,NA,NA,2.38,6.39,1.6,0.68,2.72,1.33,0.47,NA,-0.4,NA,1.66,-12.33,-11.08,-2,0.7,-2,1.33,-3.7,-3.32,-3.32,-3.32,-4.66,0,-6.67,0.1,5,0.71,0,0,2.3,0.1,-1.7,0,0,0,0.09,0.08,NA,0,NA,0
Aecon Group Inc,Industrial Services,7300,TSE,Foreign,5.3,0,3006,30.5,166.7,92.4,259.1,193.4,65.7,1002.5,1039,NA,NA,NA,NA,NA,1.62,0.17,NA,NA,1.49,1.33,0.19,0.19,NA,NA,NA,-0.15,0.2,0.45,0.12,0.33,-3.68,0.12,NA,0.2,-0.53,-0.14,-0.05,-0.02,129.7,455.3,6.1,0.22,-54.7,-18.25,-18.25,-10.35,-14.57,0,0.01,0.25,0.06,0.14,4,7.9,49.1,1039,0,0,0.02,0.13,0.55,0.36,0.47,0,NA,0
Aegis Assessments Inc,Wireless Networking,7380,NDQ,Foreign,0.19,-0.14,138093,28.5,6.3,0.1,6.4,6.3,0.1,0.1,0.1,NA,NA,NA,NA,NA,1.43,63,NA,63,1.43,1.42,63,63,NA,NA,NA,1.04,0,0.85,0.89,0,0,NA,NA,#DIV/0!,-1.45,0,-64,0,4.4,5.6,-0.2,0,-6.4,0,0,0.1,0,0,-2,0.02,1,0.02,0.1,0.1,6.4,0.1,-6.4,0,0,0.04,0.02,0.02,0.02,0,NA,0
Aegis Communications Group Inc,Industrial Services,7300,NDQ,US,0.04,0,314690,659.6,26.4,18.6,45,45,0,94.3,64.2,NA,NA,NA,NA,NA,NA,0.28,NA,14.76,6.92,NA,0.48,0.7,NA,NA,NA,0,1.88,1.25,0.8,6.31,-4.98,0.06,NA,0.91,NA,-0.84,-0.24,-0.06,6.5,22.1,-3.2,1.02,-22.2,-5.45,-5.45,3.05,-0.47,0,-0.03,0,0,0,2.5,8.5,31.4,64.2,-15,0,0,0.41,0.7,0.41,NA,0,NA,0
AEGON,Insurance (Life),6310,NYS,Foreign,16.32,-0.01,459100,1552.7,25588.2,3866.4,29454.6,24729.6,4725,NA,NA,10.08,10.08,NA,NA,1.19,1.06,NA,NA,NA,1.06,1.05,NA,NA,-0.02,0.09,NA,0,3.24,1.75,0.16,0.54,0,1.21,0.34,NA,0.11,NA,NA,NA,23278.1,321973.7,0,0,2539.4,NA,NA,NA,NA,0.21,NA,0.16,NA,0.01,0,0,0,0,2539.4,853.99,0,0,0.15,0.13,0.14,0.03,NA,0.1
Aehr Test Systems,Electronics,3670,NDQ,US,4.09,0.01,28467,7.5,29.6,0,29.6,20.8,8.8,16.1,14.8,NA,NA,NA,NA,NA,1.69,1.84,NA,NA,2.39,1.69,1.29,1.41,NA,NA,NA,0.01,1.75,1.1,0.31,0.93,-0.53,0.38,NA,0.11,-0.28,-0.54,-0.3,-0.29,8.7,21.5,6.6,-0.53,-4.9,-4.66,-4.66,-4.36,-4.12,0,0.41,0.3,0.59,0.41,0.3,0.3,9.2,14.8,-3.8,0,0.01,0.06,0,0,0,0,NA,0.48
Aeolus Pharmaceuticals Inc,Drug,2834,NDQ,Foreign,0.95,0.12,116376,13.9,12.9,0.8,13.7,6.3,7.4,0.3,0.3,NA,NA,NA,NA,NA,2.35,43,NA,NA,NA,2.17,21,21,NA,NA,NA,0,0,1.45,0.52,0,0,NA,NA,0,-3.13,10.7,-57.33,-39.24,-1.1,7.9,-1.4,0,-17.2,-11.77,-11.77,-11.77,-11.77,0,-4.67,0.54,24.67,0.94,0,0,12.3,0.3,-25.4,0,0,0,0.06,0.06,0.13,0,NA,0.06
AEP Industries,Chemical (Specialty),2820,NDQ,US,25,0,6968,8.4,214.3,263.6,477.9,468.2,9.7,811,807.6,NA,NA,NA,NA,NA,4.43,0.26,6.81,4.7,1.55,1.53,0.58,0.58,NA,NA,NA,0.04,-0.14,0.9,0.3,0.6,-16.09,-0.05,NA,-0.58,-0.01,0.09,0,0.08,302.3,452.1,92.6,-0.39,-0.4,68.77,27.51,99.67,43.6,0.6,0.11,0.02,0.01,0.02,15.2,30.9,105,807.6,-1.5,0,0.07,0.39,1.23,0.55,0.84,0,NA,0.38
Aero System Engineer,Aerospace/Defense,3720,NDQ,US,5.05,0,200,4.4,22.2,2.2,24.4,21.2,3.2,40.9,38.6,9.25,11.1,NA,NA,NA,3.08,0.54,5.14,4.06,3.42,2.6,0.52,0.55,NA,NA,NA,0.5,0.07,0.4,NA,0.85,-0.63,0.02,0,-0.19,0.33,0.55,0.06,0.1,6.2,22.9,2.4,-0.13,2.4,4.12,3.43,5.22,4.06,0.17,0.06,0.13,0.08,0.14,0.6,1.1,6.3,38.6,2,0,0,0.18,0.1,0.09,0.23,0,NA,0
AeroCentury Corp,Financial Svcs. (Div.),6100,AMS,US,3.29,0.01,1800,1.5,4.9,49,53.9,51.5,2.4,9,10.3,NA,NA,NA,NA,NA,0.26,0.54,10.04,5.9,0.79,0.79,5.72,5,NA,NA,NA,0.03,0.4,0.6,0.49,0.49,19.06,0.16,NA,3.72,-0.02,0.08,-0.04,0.57,65.4,83.9,4.6,0.66,-0.4,5.13,5.13,8.73,-13.94,0,0.51,0.04,0.23,0.03,22,3.6,2.7,10.3,-0.5,0,0,0.89,10,0.91,0.72,0,NA,0.04
Aeroflex Inc.,Aerospace/Defense,3720,NDQ,US,10.75,0.02,551701,74.6,772.2,4.8,777,764,13,463.4,479.8,41.52,46.24,0.51,21.08,2.31,1.74,1.67,11.68,7.74,1.75,1.73,1.65,1.59,-0.02,0.18,NA,0.11,1.76,1.45,0.34,0.54,-12.41,0.65,0,-0.34,0.04,0.08,0.04,0.14,435.8,589.8,149.4,5.29,18.6,65.39,36.91,98.69,49.32,0.44,0.32,0.02,0.03,0.02,15.6,33.3,177.6,479.8,16.7,0,0.4,0.13,0.01,0.01,0.01,0,NA,0.84
Aeropostale,Retail (Special Lines),5600,NYS,US,26.26,0,454500,58.1,1452.4,0,1452.4,1270,182.4,964.2,1096.2,17.27,16.81,1.56,16.83,0.8,6.09,1.51,8.33,7.51,22.72,6.09,1.32,1.16,NA,0.22,0.18,0.17,1.27,1.55,0.33,0.59,30.11,0.43,0,0.32,0.35,1.67,0.09,0.16,55.9,405.8,0.1,0.01,84.1,152.54,93.4,169.14,63.29,0.39,0,0.13,0.17,0.45,46.7,16.6,184,1096.2,86.4,0,0.01,0.3,0,0,0,0,0.04,0
Aerosonic Corp.,Aerospace/Defense,3720,AMS,US,6.45,0.02,700,3.9,25.9,3,28.9,28.1,0.8,30.7,34.7,17.27,15.24,NA,NA,NA,2.47,0.84,35.89,18.95,2.21,2.14,0.92,0.81,0.31,NA,NA,-0.01,0.88,0.25,0.4,0.61,1.02,0.29,0,1.3,0.14,0.06,0.05,0.03,12.7,18.5,8.6,1.12,1.5,0.78,0.78,1.48,-0.24,0,0.28,0.03,0.02,0.04,0.6,0.7,8,34.7,1.7,0,0,0.21,0.12,0.1,0.22,0,NA,0.07
AES Corp.,Power,4900,NYS,US,15.84,0,1306000,650.1,10348.8,18583,28931.8,26987.8,1944,9486,9874,23.31,23.31,0.93,17.03,1.73,6.29,1.09,7.74,6.23,1.48,1.43,2.85,2.73,-0.03,0.14,0.03,0.09,1.02,2,0.18,0.58,48.22,0.35,0,0.02,0.27,0.14,0.05,0.37,18284,29732,-68,-2.78,443.9,3488.95,2585.8,4329.95,2537.58,0.26,-0.01,0.07,0.2,0.07,892,841,124.1,9874,443.9,0,0.05,0.63,1.8,0.64,0.92,0,0.05,0.76
AESP Inc,Electrical Equipment,3600,NDQ,Foreign,0.08,0,86488,6.1,0.5,2.1,2.6,2.3,0.3,15.8,15.8,NA,NA,NA,NA,NA,NA,0.03,NA,NA,3.83,NA,0.15,0.15,NA,NA,NA,-0.51,0,0.85,NA,0,0,NA,NA,0,NA,-1.8,-0.11,-0.07,0.6,7.2,0,0,-1.7,-1.08,-1.08,-0.98,-1.08,0,0,0.12,0.02,0.04,0.1,0.1,4.8,15.8,-1.7,0,0,0.01,4.2,0.81,NA,0,NA,0
AEterna Zentaris Inc,Drug,2834,TSE,Foreign,5.9,-0.01,26383,40.7,239.3,56.2,295.5,214,81.5,101.2,267.6,NA,NA,NA,NA,NA,2.17,2.36,NA,NA,2.52,1.77,2.11,0.8,NA,NA,NA,0.87,2.36,0,0.24,0.72,17.27,0.66,NA,-0.95,-0.24,-0.21,-0.26,-0.18,85,331,8.8,14.47,-26.2,-18.23,-18.23,-15.93,-35.5,0,0.09,0.28,0.3,0.25,5.1,2.3,17.8,267.6,0,0,0.35,0.07,0.23,0.19,0.34,0,NA,0.13
Aether Holdings Inc,Wireless Networking,7380,NDQ,US,3.32,0.02,84012,44,145.3,0,145.3,22.4,122.9,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,2.91,1.11,NA,NA,NA,NA,NA,0,1.07,1.15,0.1,0.47,-1.9,0.45,NA,NA,-0.16,NA,NA,NA,7.7,136.6,0.6,0,-21.3,NA,NA,NA,NA,0,NA,0.85,NA,0.9,0.3,2.2,12.1,0,-1,0,0,0,0,0,0,0,NA,0.53
Aethlon Medical Inc,Medical Services,8000,NDQ,US,0.33,-0.03,28811,17,7.5,0.5,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.62,0,0,NA,NA,NA,NA,NA,NA,NA,-2.6,0.3,-2.9,0,-2.1,NA,NA,NA,NA,0,NA,0,NA,0,0,0,1.2,0,-2.8,0,0.67,0,0.07,0.06,NA,0,NA,0
Aetna Inc.,Medical Services,8000,NYS,US,94.26,-0.01,878500,293,27832.5,1609.7,29442.2,28046.2,1396,19904.1,21792.6,22.91,NA,5.18,18.2,1.07,3.06,1.4,13.71,12.59,3.02,2.75,1.41,1.29,0.03,0.22,0.09,0.15,0.6,1,0.25,0.29,1062.11,0.41,0.01,0.81,0.13,0.14,0.06,0.1,9295.1,42133.7,11108.9,1054.01,1215.1,2046.14,1309.33,2228.34,247.21,0.36,0.56,0.05,0.06,0.03,190.3,182.2,4028.8,21792.6,0,11.72,0.1,0,0.06,0.05,0.15,0,0.03,0.88
Aetrium Inc,Electronics,3670,NDQ,US,4.52,-0.01,31304,9.6,45.3,0.1,45.4,38.1,7.3,27.8,16.3,13.32,NA,NA,NA,NA,2.6,1.63,8.34,6.72,3.74,2.59,1.37,2.34,NA,NA,NA,0.94,2.89,1.5,0.44,0.89,-4.58,0.65,0,-1.02,0.2,0.44,0.12,0.16,10.2,20.8,8.9,-3.68,3.4,4.57,4.5,5.67,9.08,0.02,0.32,0.16,0.45,0.35,0.2,1.1,12.3,16.3,-2.1,0,0.04,0.02,0,0,0.01,0,NA,0.13
AF Bancshares Inc.,Thrift,6120,NDQ,US,21,0,400,1,22,5.7,27.7,20,7.7,NA,NA,NA,44,NA,NA,NA,1.69,NA,NA,NA,1.82,1.48,NA,NA,NA,NA,NA,0,0,0.65,0.26,0,0,NA,NA,NA,-0.02,NA,NA,NA,11,211.6,0,0,-0.3,NA,NA,NA,NA,0,NA,0.28,NA,0.04,0,0,2.7,0,0.5,0.2,0.01,0.05,0.26,0.21,0.3,0.01,NA,0.04
Affiliated Computer,Computer Software/Svcs,3579,NYS,US,59.17,0,496100,125.2,7388.7,756.6,8145.3,8082.6,62.7,4351.2,4615.9,18.16,17.93,NA,NA,1.35,2.6,1.7,8.66,6.93,2.29,2.27,1.86,1.75,0.28,0.14,0.16,0.08,0.68,1.25,0.14,0.22,41.66,0.61,0,0.07,0.14,0.17,0.09,0.21,3532.3,4850.8,349.5,21.26,406.9,933.77,592.75,1166.57,551.08,0.37,0.08,0.01,0.01,0.01,253.2,232.8,0,4615.9,412.2,0,0.58,0.14,0.1,0.09,0.21,0,0.09,0.95
Affiliated Managers,Financial Svcs. (Div.),6100,NYS,US,80.33,-0.01,282100,33.3,2727.7,868.4,3596.1,3434.7,161.4,660,828,35.38,35.38,2.91,27.6,2.21,3.85,4.13,11.11,10.28,2.43,2.28,5.2,4.15,NA,0.16,0.21,0.28,1.83,1.5,0.19,0.31,-17.19,1.19,0,-0.09,0.11,0.13,0.12,0.47,1414.7,1933.4,2,0.51,77.1,309.28,184.83,333.98,202.02,0.4,0,0.04,0.19,0.08,7,24.7,109.1,828,77.1,0,0.46,0.02,0.32,0.24,0.55,0,0.18,0
